1000000019999Ryan                Wilson                               12345.67
1000000028888Jeremy              Wilson                               76543.21
1000000039999Katara              Watertribe                              335.5
1000000049999Sokka               Watertribe                                0.0
1000000059999Toph                Beifong                       9.9999999999999E11
1000000069999Nova                Artino                                  434.0
1000000079999Adrian              Everhart                          2.9847134E7
1000000081234Michael             Young                                   100.0
1000000099999Eragon              Shadeslayer                               0.0
1000000109999Max                 Caulfield                              2898.0
1000000119999Sean                Diaz                                      0.0
1000000129999Daniel              Diaz                                    345.0
